,id,id_str,user_location,country_location
355,1358557518050570242,1358557518050570242,"New Jersey, USA",United States
356,1358552344485646338,1358552344485646338,Planet Earth,Unknown
357,1358501272752644097,1358501272752644097,"Paris, Île de France",France
358,1358460740378779650,1358460740378779650,Florida Keys,United States
359,1358447679819366404,1358447679819366404,Ireland & on a plane soon!,Unknown
360,1358432611857821703,1358432611857821703,Not Available,Unknown
361,1358283812841676802,1358283812841676802,Mid-Atlantic,Unknown
362,1358119454236901376,1358119454236901376,"Brooklyn, NY",United States
363,1358113360391401476,1358113360391401476,Not Available,Unknown
364,1358108972952285185,1358108972952285185,"Key Largo, FL",United States
365,1358078006657441792,1358078006657441792,Not Available,Unknown
366,1357996317813964800,1357996317813964800,Ireland,Ireland
367,1362945395144486913,1362945395144486913,Not Available,Unknown
368,1362791871647481863,1362791871647481863,Earth,Unknown
369,1362779083059429378,1362779083059429378,"Koh Tao, Thailand",Thailand
370,1362778972505964548,1362778972505964548,Canada,Canada
371,1362676832051560449,1362676832051560449,Not Available,Unknown
372,1362667791262887936,1362667791262887936,"Edinburgh, Scotland",United Kingdom
373,1362665303902195715,1362665303902195715,"Edinburgh, Scotland",United Kingdom
374,1362651228723814405,1362651228723814405,west coast,United States
375,1362635682959691776,1362635682959691776,Not Available,Unknown
376,1362634006903349252,1362634006903349252,Not Available,Unknown
377,1362559180595322882,1362559180595322882,Australia,Australia
378,1362552612126613505,1362552612126613505,Not Available,Unknown
379,1362493589821956096,1362493589821956096,"Honolulu, Hawaii",United States
380,1362491541470781454,1362491541470781454,Not Available,Unknown
381,1362470428351098885,1362470428351098885,Not Available,Unknown
382,1362463932334501888,1362463932334501888,"Lincoln, NE",United States
383,1362452277718564866,1362452277718564866,"Bogotá, D.C., Colombia and UK.",Unknown
384,1362439382041563137,1362439382041563137,"New York, NY 10022",United States
385,1362435055818309635,1362435055818309635,Not Available,Unknown
386,1362432842660278281,1362432842660278281,California & Mombasa Kenya,Unknown
387,1362427949182554117,1362427949182554117,"Madison, WI / Global",Unknown
388,1362423444952997892,1362423444952997892,"East Lansing, MI",United States
389,1362418249439313925,1362418249439313925,"Montréal, Québec",Canada
390,1362414061028335616,1362414061028335616,"Durham, NH, USA",United States
391,1362409024847810564,1362409024847810564,"Bogotá, D.C., Colombia and UK.",Unknown
392,1362406334105288704,1362406334105288704,"Newcastle upon Tyne, UK",United Kingdom
393,1362393965178331139,1362393965178331139,"Key Largo, FL",United States
394,1362371857811267585,1362371857811267585,Not Available,Unknown
395,1362220119376674816,1362220119376674816,Not Available,Unknown
396,1362205904339300357,1362205904339300357,"Watford, England",United Kingdom
397,1362176450821042184,1362176450821042184,"Toulon, France",France
398,1362148762618126341,1362148762618126341,Not Available,Unknown
399,1362146818331713536,1362146818331713536,"Baltimore, MD",United States
400,1362121947698454528,1362121947698454528,"Pasadena, CA",United States
401,1362121366317772806,1362121366317772806,"Portsmouth, UK",United Kingdom
402,1362101709988892673,1362101709988892673,Florida,United States
403,1362098873209139206,1362098873209139206,"Glasgow, Scotland",United Kingdom
404,1362097124993863682,1362097124993863682,Not Available,Unknown
405,1362095920502964228,1362095920502964228,18| she/her| kenny,Unknown
406,1362085730542104579,1362085730542104579,"Key Largo, FL",United States
407,1362077336775127042,1362077336775127042,University of Rochester,United States
408,1362043880435298308,1362043880435298308,Isle of Man,Isle of Man
409,1362033514544320515,1362033514544320515,"Edinburgh, sometimes",United Kingdom
410,1362000224080732162,1362000224080732162,Singapore,Singapore
411,1361993406562631683,1361993406562631683,NW London,United Kingdom
412,1361971975103643649,1361971975103643649,"Mombasa, Kenya",Kenya
413,1361956042389606400,1361956042389606400,Australia,Australia
414,1361951596473585665,1361951596473585665,"sydney, australia",Australia
415,1361946359255818240,1361946359255818240,Chennai and The Netherlands,Unknown
416,1361938389138763776,1361938389138763776,Australia,Australia
417,1361917523164340224,1361917523164340224,"Florida, USA",United States
418,1361911087969406978,1361911087969406978,Earth,Unknown
419,1361904481055703042,1361904481055703042,Not Available,Unknown
420,1361875787310198793,1361875787310198793,Not Available,Unknown
421,1361864928823500801,1361864928823500801,"London, UK",United Kingdom
422,1361854791228428290,1361854791228428290,Australia,Australia
423,1361835248284278786,1361835248284278786,Not Available,Unknown
424,1361831399414779904,1361831399414779904,"Toulon, France",France
425,1361830151525339136,1361830151525339136,Australia,Australia
426,1361828113370537989,1361828113370537989,East Coast USA for now,United States
